message,label
"Apko mubarak ho! Aap ne 50,000 rupees ka prize jeeta hai. Claim karne ke liye rabta karein.",spam
"Congratulations! Aap lucky winner hain. Apna prize hasil karne ke liye abhi contact karein.",spam
"Free 10GB internet hasil karein. Offer activate karne ke liye link par click karein.",spam
"Apka mobile number lucky draw mein select hua hai. Prize lene ke liye call karein.",spam
"Limited time offer! Sirf aaj 70 percent discount hasil karein.",spam
"URGENT! Aap ka account block hone wala hai. Verification ke liye link open karein.",spam
"Mubarak ho! Aap ne new car jeeti hai. Prize claim karne ke liye details bhejein.",spam
"Free recharge hasil karein. Apna number verify karein aur reward lein.",spam
"Aap ko 25,000 cash reward mila hai. Claim karne ke liye abhi message karein.",spam
"Special offer! Sirf aaj mobile accessories par huge discount.",spam
"Apko lucky customer choose kiya gaya hai. Prize hasil karne ke liye rabta karein.",spam
"Congratulations! You have won a cash prize. Contact us immediately.",spam
"Free balance offer! Activation ke liye apna mobile number send karein.",spam
"URGENT: Aap ka SIM band hone wala hai. Verification complete karein.",spam
"Rs 100,000 jeetne ka golden chance! Abhi participate karein.",spam
"Apke liye special loan offer available hai. Bina documents ke loan hasil karein.",spam
"Congratulations! Aap lucky draw ke winner hain. Claim code hasil karein.",spam
"Free shopping voucher jeetein. Offer claim karne ke liye contact karein.",spam
"Apka number prize ke liye select hua hai. Details ke liye WhatsApp karein.",spam
"Limited offer! Free internet aur free calls hasil karein.",spam
"Click karein aur apna reward hasil karein. Offer sirf kuch hours ke liye hai.",spam
"Prize claim karne ke liye apna naam aur CNIC details bhejein.",spam
"Breaking offer! Aap ko 50,000 ka bonus mila hai. Abhi claim karein.",spam
"Free gift hasil karne ka chance. Link open karein aur form fill karein.",spam
"Congratulations dear customer, you have won a special reward.",spam
"Urgent verification required. Apna account secure karne ke liye link par click karein.",spam
"Aaj ke din ke liye special discount offer. Jaldi order karein.",spam
"Apko 20GB free data mil raha hai. Offer activate karne ke liye YES reply karein.",spam
"Lucky draw result announce ho gaya hai. Aap winner hain.",spam
"Cash prize collect karne ke liye given number par call karein.",spam
"Free mobile jeetne ka chance! Abhi registration complete karein.",spam
"Special loan available. Sirf ek call par cash hasil karein.",spam
"Congratulations! Your number has been selected for a mega prize.",spam
"Apka reward expire hone wala hai. Abhi claim karein.",spam
"Free voucher ke liye apni details submit karein.",spam
"Limited seats! Online earning course mein admission lein aur paisay kamayen.",spam
"Apko exclusive business opportunity di ja rahi hai. Details ke liye contact karein.",spam
"Win a brand new phone! Lucky draw mein abhi participate karein.",spam
"Rs 5000 ka free balance hasil karein. Sirf YES likh kar bhejein.",spam
"Urgent! Account verification pending hai. Abhi verify karein.",spam
"Free prize offer sirf aaj available hai. Claim now.",spam
"Aap ke liye 80 percent discount voucher ready hai.",spam
"Congratulations! Aap ko bonus reward mila hai. Details hasil karein.",spam
"Apna prize lene ke liye WhatsApp par message karein.",spam
"Free internet package hasil karne ke liye registration karein.",spam
"Golden opportunity! Ghar bethay online earning start karein.",spam
"Apko special customer reward mila hai. Claim karne ke liye rabta karein.",spam
"Your number has won a lucky draw. Prize claim karne ke liye contact karein.",spam
"Free gift box hasil karein. Delivery ke liye apna address bhejein.",spam
"Offer khatam hone se pehle apna reward claim karein.",spam
"Kal university kitne baje jana hai?",not-spam
"Main aaj class mein nahi aa sakti, notes bhej dena.",not-spam
"Ammi ne kaha hai ghar jaldi aa jana.",not-spam
"Kal assignment submit karna hai ya Monday ko?",not-spam
"Please mujhe lecture ki pictures send kar dena.",not-spam
"Main market ja rahi hoon, tumhein kuch chahiye?",not-spam
"Aaj mausam bohat acha hai.",not-spam
"Kal tum university aa rahi ho?",not-spam
"Lecture kitne baje start hoga?",not-spam
"Mujhe apni assignment file bhej do please.",not-spam
"Main thori der mein ghar pohanch jaungi.",not-spam
"Chai bana doon?",not-spam
"Kal test hai, tayari ki hai?",not-spam
"Please mujhe class ka timetable send karna.",not-spam
"Main abhi busy hoon, baad mein call karungi.",not-spam
"Apki tabiyat ab kaisi hai?",not-spam
"Kal library mein milte hain.",not-spam
"Main ne assignment complete kar li hai.",not-spam
"Teacher ne kaha hai kal presentation hogi.",not-spam
"Notes mil gaye hain, thank you.",not-spam
"Khane mein kya banana hai aaj?",not-spam
"Main bazar se doodh le aaungi.",not-spam
"Please ghar pohanch kar mujhe message kar dena.",not-spam
"Hum kal shaam ko mil sakte hain.",not-spam
"Mujhe ye chapter samajh nahi aa raha.",not-spam
"Class mein aaj attendance hui thi?",not-spam
"Main tumhein baad mein details bataungi.",not-spam
"Phone ki battery khatam hone wali hai.",not-spam
"Kal subah mujhe jaldi uthana.",not-spam
"Assignment ka question number 3 solve hua?",not-spam
"Main lunch kar rahi hoon, thori der baad baat karti hoon.",not-spam
"University se wapas aa gayi hoon.",not-spam
"Can you send me today's lecture notes?",not-spam
"Kal meeting kis room mein hai?",not-spam
"Mujhe ek important file print karwani hai.",not-spam
"Main abhi bus mein hoon.",not-spam
"Apna khayal rakhna aur ghar pohanch kar batana.",not-spam
"Kal hum project par kaam karenge.",not-spam
"Mujhe Python ka code samajhne mein help chahiye.",not-spam
"Teacher ne project ki deadline extend kar di hai.",not-spam
"Main dinner ke baad call karungi.",not-spam
"Please meri book kal le aana.",not-spam
